14,15,16,17,18,19,20,21,22,23,24
"x3,f,b1","x3,mt1,f","x3,v1","x3,s5,b2,f","x3,b2,v1","x3,a3,d2,bf1,mt3","x3,bm3,v1,mt1","x3,bs3,u,mt1","x4,bs1,v1,mt1,u","x4,p,v1,u",cut in twain (dead)
"x3,a3,d1,w","x3,a3,d2,w","x3,a3,d2,mt1,w","x3,a3,d2,t2,w","x3,a3,d2,t2,mt1,w","x2,a3,bf1,mt2","x3,a3,d2,bm2,mt3","x3,a3,d2,b3,mt3,t2,w","x4,a3,d2,bf3,mt3,t2","x3,a3,d2,bm3,mt3,t2","x3,a3,d2,ls,w"
"x2,a3,w","x2,a3,w","x2,a3,mt1,w","x2,a3,b1,w","x2,a3,mt1,b1,w","x2,a3,bf2,mt2,w","x2,a3,bm1,mt2","x2,a4,mt2,bf1","x2,a4,bm1,mt2","x2,a4,bm1,mt2","x2,a4,ls,w"
"x2,a3,w","x2,a3,w","x2,a3,mt1,w","x2,a3,b1,w","x2,a3,mt1,b1,w","x2,a3,bf1,mt2,2","x2,a3,bm1,mt2","x2,a4,mt2,bf1","x2,a4,bm1,mt2","x2,a4,bm1,mt2","x2,a4,ls,w"
"x2,w,a3,t1","x2,w,a3,t1","x2,w,a3,t1","x2,w,a4,t1","x2,w,a4,t1,b1","x2,w,a4,t1,b1","x2,w,a4,t1,bf1","x2,w,a5,t1,bm1","x2,w,a5,ls","x2,w,a5,ls","x2,w,a5,ls"
"x2,w,a3,t1","x2,w,a3,t1","x2,w,a3,b1,t2","s2,w,a4,t2,b1","x2,w,a4,t2,bf2,","x2,w,a4,t2,bf2","x2,w,a4,t2,bm2","x2,w,a5,t2,bm2","x2,w,a5,ls","x2,w,a5,ls","x2,w,a5,ls"
"x2,a3,w","x2,a3,w","x2,a3,mt1,w","x2,a3,b1,w","x2,a3,mt1,b1,w","x2,a3,bf2,mt2,w","x2,a3,bm2,mt2,w","x2,a4,mt2,bm2,w","x2,a3,bf2,mt2,w","x2,a4,bm2,mt2,w","x3,a4,ls,w"
"x2,a3,w","x2,a3,w","x2,a3,mt1,w","x2,a3,b1,w","x2,a3,mt2,b1,w","x2,a3,bf2,mt2,w","x2,a3,bm2,mt2,w","x2,a4,mt3,bm2,w","x2,a3,bf2,mt3,w","x2,a4,bm2,mt3,w","x3,a4,ls,w"
"x2,w,a3,t1","x2,w,a3,t1","x2,w,a3,b1,t1","x2,w,a3,t1,b1","x2,w,a3,t1,bf1","x2,w,a3,t1,bf1","x2,w,a3,t1,bm1","x2,w,a4,t1,bm1","x2,w,a3,ls","x2,w,a3,ls","x2,w,a3,ls"
"x2,w,a3,t1","x2,w,a3,t1","x2,w,a3,b1,t1","x2,w,a3,t1,b1","x2,w,a3,t1,bf1","x2,w,a3,t1,bf1","x2,w,a3,t1,bm1","x2,w,a3,t1,bm1","x2,w,a3,ls","x2,w,a3,ls","x2,w,a3,ls"
"x2,t1,a2","x2,t1,a2,ws","x2,t2,x3,ws","x2,t2,a3,ws","x2,t2,a3,w","x2,t2,b1,a3,w","x2,t2,b1,a3,w","x2,t2,bf2,a3,w","x2,t2,bm2,a3,w","x2,a3,ls,w","x2,ls,a3,w"
"x2,t1,a2","x2,t2,a2","x2,t2,a2","x2,t2,a2,ws","x2,t2,a3,ws","x2,t1,mt2,a3,ws","x2,t1,mt2,b1,a3,w","x2,t1,mt2,bf1,a3,w","x2,t1,mt2,bm1,a3,w","x2,a3,ls,w","x2,ls,a3,w"
"x2,t1","x2,t1","x2,b1,t1","x2,bm1,t1","x2,bm1,t1","x2,ls","x2,ls","x2,ls","x2,ls","x2,ls","x2,ls"
"x2,a3,w","x2,a3,w","x2,a3,mt1,w","x2,a3,b1,w","x3,a3,mt1,b1,w","x3,a3,bf1,mt2,w","x3,a3,bm1,mt3,w","x3,a4,mt1,bm4,w","x4,a3,mt4,bf1,w","x3,a4,mt4,bm1,w","x3,a4,ls"
"x3,a3,d1,w","x3,a3,d2,w","x3,a3,d2,mt1,w","x3,a3,d2,t2,w","x3,a3,d2,t2,mt1,w","x3,a3,d2,bf1,mt1","x3,a3,d2,bm2,mt1","x3,a3,d2,b3,mt1,t2,w","x3,a3,d2,bf3,mt1,t2","x3,a3,d2,bm3,mt1,t2","x3,a3,d2,ls"
"x3,a3,d3,u,mc","x3,a3,d4,u,p,mc","x3,a3,d5,u,mc","x4,a4,d6,u,sc","x4,a5,p,u,sc","x4,pb,ib,v1","x4,pb,ib,v1","x4,p,u,sc","x4,pb,ib,v2",decapitated (dead),decapitated (dead)
"x3,a2,d3,u,mc","x3,a2,d3,u,p,mc","x3,a3,d4,u,mc","x4,a4,d5,b1,u,sc","x4,a5,d6,b1,v1,u,sc","x4,p,bm1,u,sc","x4,p,bm1,v1,u,sc","x4,p,bs1,u,sc","x4,p,bs1,v1,u,sc",decapitated (dead),decapitated (dead)
"x3,a2,d3,u,mt1","x3,a2,d3,u,mt1","x3,a3,d4,u,mt1","x4,a4,d6,u,mt2,mc","x4,a5,d6,mt2,u,sc","x4,p,bm1,u,sc","x4,p,bm2,v1,u,sc","x4,p,bs2,u,sc","x4,p,bs2,v2,u,sc",decapitated (dead),decapitated (dead)
"x4,a6,d6,u,sc","x4,a6,d6,u,sc","x4,a7,d7,u,sc","x4,a7,d7,b1,u,sc","x4,a7,d7,b1,u,sc","x4,a8,d8,b1,v1,u,sc","x4,a8,d8,bm1,v1,u,sc","x4,a9,d9,bm1,v1,u,sc","x4,a9,d9,bs1,v1,u,sc",skull caved-in,brain goo
"x4,a5,d6,u,sc","x4,a5,d6,u,sc,p","x4,a6,d7,u,sc","x4,a6,d7b0,u,sc,p","x4,a6,d7,b1,u,sc","x4,a7,d8,b2,v1,u,sc","x4,a7,d8,bm3,v2,u,sc","x4,p,bm3,v2,u,sc","x4,p,bs3,v2,u,sc",skull caved-in,brain goo
"x4,bf1,a3,d1,u,mc","x4,bm1,a4,d2,f,mc","x4,bf2,a5,d3,f,mc","x4,bm2,a5,d3,f,mc","x4,bf3,a5,d3,f,mc","x4,bm3,a5,d3,f,sc","x4,bm3,a6,d4,u,mc","x4,bf3,a6,d4,u,sc","x4,bm3,a6,d4,u,sc","x4,bs3,a7,d5,u,sc",jaw removed
"x4,b1,a3,d3,u,mc","x4,b1,a4,d4,f,mc","x4,b2,a5,d5,f,mc","x4,b2,a5,d5,f,mc","x4,bm2,a5,d5,f,mc","x4,bm3,a5,d5,f,sc","x4,bm3,a5,d5,u,sc","x4,bm3,a5,d5,u,sc","x4,bs3,a5,d5,u,sc","x4,bs3,a5,d5,u,sc",skull caved-in
"x4,a6,d6,u,sc","x4,a6,d6,u,sc","x4,a7,d7,u,sc","x4,a7,d7,b1,u,sc","x4,a7,d7,b1,u,sc","x4,a8,d8,b1,v1,u,sc","x4,a8,d8,bm1,v1,u,sc","x4,a9,d9,bm1,v1,u,sc","x4,a9,d9,bs1,v1,u,sc",skull caved-in,brain goo
"x4,a6,d6,u,sc","x4,a6,d6,u,sc","x4,a7,d7,u,sc","x4,a7,d7,b1,u,sc","x4,a7,d7,b1,u,sc","x4,a7,d7,b1,v1,u,sc","x4,a8,d8,bm2,v1,u,sc","x4,a8,d8,bm2,v1,u,sc","x4,a9,d9,bs2,v1,u,sc",skull caved-in,brain goo
"x4,a6,d6,u,sc","x4,a6,d6,u,sc","x4,a7,d7,u,sc","x4,a7,d7,b1,u,sc","x4,a7,d7,b1,u,sc","x4,a8,d8,b2,v1,u,sc","x4,a8,d8,bm2,v1,u,sc","x4,a9,d9,bm3,v1,u,sc","x4,a9,d9,bs3,v1,u,sc",skull caved-in,brain goo
"x4,a6,d6,u,sc","x4,a6,d6,u,sc","x4,a7,d7,b1,u,sc","x4,a7,d7,b1,u,sc","x4,a8,d8,b1,v1,u,sc","x4,a8,d8,bm1,v1,u,sc","x4,a9,d9,bm1,v1,u,sc","x4,a9,d9,bs1,v1,u,sc",skull caved-in,brain goo,brain goo
